,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_hidden_layer_sizes,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
21,47.29250939687093,3.7615479341736706,0.12471214930216472,0.018951377116329073,"(125, 50)",0.4,"{'hidden_layer_sizes': (125, 50), 'alpha': 0.4}",-0.3929528002809171,-0.40400954816185053,-0.3788747775537417,-0.3919457086655031,0.010285907787581369,19
22,70.44197336832683,10.504079793218226,0.2331831455230713,0.033053790120095,"(200, 50)",0.2,"{'hidden_layer_sizes': (200, 50), 'alpha': 0.2}",-0.3977353178969283,-0.40441101997150053,-0.3793639788845738,-0.39383677225100083,0.010590485050823805,39
23,52.106060902277626,9.07756417936911,0.19130571683247885,0.04934133149814879,"(100, 100)",1,"{'hidden_layer_sizes': (100, 100), 'alpha': 1}",-0.3913922267659553,-0.4031462306323274,-0.37810199786716936,-0.3908801517551507,0.010230674930859381,8
24,15.135623931884766,2.866975982166441,0.1987760861714681,0.004873010259447785,"(150, 125)",0.01,"{'hidden_layer_sizes': (150, 125), 'alpha': 0.01}",-0.4272654931813281,-0.4175624324129678,-0.3978813034885663,-0.4142364096942874,0.012224414677710498,100
25,70.29515830675761,2.1021687266792792,0.16188708941141763,0.008413258692530083,"(100, 150)",0.1,"{'hidden_layer_sizes': (100, 150), 'alpha': 0.1}",-0.3972571357820176,-0.40370663207678537,-0.38656049962241956,-0.3958414224937409,0.007071098340975354,60
26,19.34405001004537,4.586216048777787,0.25655849774678546,0.01014568984443336,"(200, 150)",0.0001,"{'hidden_layer_sizes': (200, 150), 'alpha': 0.0001}",-0.4003842200693223,-0.40992654094374703,-0.384848911026747,-0.3983865573466054,0.010334888253832355,74
27,24.751410722732544,0.4156077710394227,0.05798975626627604,0.00386429200919383,90,0.2,"{'hidden_layer_sizes': 90, 'alpha': 0.2}",-0.39697521122691626,-0.4039107201077979,-0.3824281409576819,-0.39443802409746537,0.008951844898590753,46
28,65.20547620455424,8.47049806894702,0.22089266777038574,0.04844345920489825,"(200, 50)",0.3,"{'hidden_layer_sizes': (200, 50), 'alpha': 0.3}",-0.394029492254338,-0.40611599760442324,-0.3827824732655231,-0.3943093210414281,0.009527926239256697,45
29,14.948986371358236,1.3824425082325245,0.17916282018025717,0.003908674015739733,"(125, 125)",0.01,"{'hidden_layer_sizes': (125, 125), 'alpha': 0.01}",-0.4139215838292325,-0.41154948646395056,-0.3916921507458733,-0.4057210736796854,0.009967103239815952,97
30,30.61286687850952,2.83696669262714,0.06732090314229329,0.009475928903821242,110,0.4,"{'hidden_layer_sizes': 110, 'alpha': 0.4}",-0.3898502473533621,-0.4025757665225582,-0.37855021561506463,-0.3903254098303284,0.009814143149447773,2
31,21.287153402964275,9.18561480523205,0.19339879353841147,0.0074024676572022035,300,0.01,"{'hidden_layer_sizes': 300, 'alpha': 0.01}",-0.39844172443679743,-0.4112022950911442,-0.38791565682533774,-0.3991865587844265,0.009521308176389992,80
32,17.06355086962382,2.655028080583741,0.194886843363444,0.004090844740683176,"(125, 150)",0.001,"{'hidden_layer_sizes': (125, 150), 'alpha': 0.001}",-0.3985694691697822,-0.4112420317384131,-0.39274252749899397,-0.4008513428023964,0.007722828701647552,88
33,51.52406366666158,2.5783942010797842,0.13758277893066406,0.0120284961763261,"(150, 50)",0.3,"{'hidden_layer_sizes': (150, 50), 'alpha': 0.3}",-0.397439732648418,-0.407504299044297,-0.37779951101119674,-0.3942478475679706,0.012335172091704313,44
34,33.04813973108927,4.479765074004831,0.07755883534749348,0.004674667032255992,"(100, 25)",0.5,"{'hidden_layer_sizes': (100, 25), 'alpha': 0.5}",-0.3938804732937004,-0.4019399994689655,-0.3787144509789096,-0.39151164124719184,0.009628604939256404,15
35,44.03325359026591,7.3792146607060545,0.1887362798055013,0.0034588167243490603,290,0.2,"{'hidden_layer_sizes': 290, 'alpha': 0.2}",-0.401911348508148,-0.4029138255757924,-0.3832523743531917,-0.3960258494790441,0.009041478129924873,64
36,66.39194830258687,12.95374799193019,0.25007200241088867,0.09158934775108153,"(150, 100)",0.4,"{'hidden_layer_sizes': (150, 100), 'alpha': 0.4}",-0.3941189016666055,-0.4003343099951488,-0.37684319938014665,-0.39043213701396695,0.009938217301056403,3
37,21.891687313715618,9.031270765932241,0.17258803049723306,0.009106905385410343,"(100, 150)",0.001,"{'hidden_layer_sizes': (100, 150), 'alpha': 0.001}",-0.40628212826705096,-0.4201429112199797,-0.3834418688909943,-0.4032889694593416,0.015131884146719702,93
38,18.369654178619385,3.7632862809836856,0.07404208183288574,0.003409392422444897,110,0.01,"{'hidden_layer_sizes': 110, 'alpha': 0.01}",-0.39422558352788434,-0.4060823205866632,-0.38342929249109686,-0.3945790655352148,0.009251437099959459,49
39,14.12439759572347,0.5039491992029584,0.14813884099324545,0.004819557810823347,"(175, 50)",0.0001,"{'hidden_layer_sizes': (175, 50), 'alpha': 0.0001}",-0.40214833923039667,-0.4273477777435463,-0.393141932018124,-0.407546016330689,0.014476674549244464,98
40,31.164029041926067,5.996563132700342,0.10093108812967937,0.023323383431742513,130,0.3,"{'hidden_layer_sizes': 130, 'alpha': 0.3}",-0.39508209032069436,-0.4123952558467235,-0.3838847507337342,-0.39712069896705066,0.011728289712178736,68
41,12.48127015431722,0.4408399057494894,0.15209444363911948,0.0009109104642428304,"(150, 75)",0.0001,"{'hidden_layer_sizes': (150, 75), 'alpha': 0.0001}",-0.39921267241977265,-0.4103400671872374,-0.3854097378727241,-0.3983208258265781,0.010197283059451516,73
42,25.360230286916096,3.086600416242942,0.06069231033325195,6.473258345188995e-05,90,0.3,"{'hidden_layer_sizes': 90, 'alpha': 0.3}",-0.39289755404260873,-0.40206419646195135,-0.3806812663821613,-0.39188100562890715,0.00875908871619823,17
43,17.463225205739338,4.592127346622224,0.2090028921763102,0.012510888738047699,"(150, 150)",0.01,"{'hidden_layer_sizes': (150, 150), 'alpha': 0.01}",-0.40802155988583055,-0.42787637871387474,-0.38845575822496214,-0.4081178989415558,0.016093545100297455,99
44,57.45797872543335,5.583521660995012,0.17168418566385904,0.04485191488971351,"(175, 25)",0.3,"{'hidden_layer_sizes': (175, 25), 'alpha': 0.3}",-0.3908817956288561,-0.4050131322100034,-0.3810953514263173,-0.39233009308839223,0.009817950687476838,28
45,11.560163736343384,2.234202023384371,0.17211834589640299,9.008317883178751e-05,"(200, 50)",0.0001,"{'hidden_layer_sizes': (200, 50), 'alpha': 0.0001}",-0.39792032834224583,-0.4082557041458009,-0.3948142390835643,-0.4003300905238703,0.005745923835428782,84
46,31.157143751780193,2.1004510572571595,0.09760093688964844,0.0047902436066902055,170,0.3,"{'hidden_layer_sizes': 170, 'alpha': 0.3}",-0.39538659666520193,-0.4059285419528206,-0.3807547756164488,-0.3940233047448238,0.010322259169215725,42
47,24.649064302444458,2.35253297932321,0.06140613555908203,0.0009714861905397757,110,0.5,"{'hidden_layer_sizes': 110, 'alpha': 0.5}",-0.392440712434201,-0.4043180693187329,-0.37740230613523584,-0.39138702929605657,0.011013545086369208,13
48,31.62752326329549,1.9038547345491708,0.1712174415588379,0.0009117571202740623,270,0.1,"{'hidden_layer_sizes': 270, 'alpha': 0.1}",-0.3994163654805044,-0.40572781300114485,-0.38594143617672,-0.39702853821945644,0.008252331639441352,67
49,60.3145010471344,3.4258960593352845,0.16468191146850586,0.021719642791462213,"(125, 75)",0.3,"{'hidden_layer_sizes': (125, 75), 'alpha': 0.3}",-0.39184682935944154,-0.4061633646800505,-0.37958577586725517,-0.39253198996891575,0.010861066263527014,30
50,71.97222956021626,4.951201382673731,0.2833698590596517,0.00028455137279544373,"(200, 150)",0.01,"{'hidden_layer_sizes': (200, 150), 'alpha': 0.01}",-0.3980661093114616,-0.4090218321708594,-0.3854308510796458,-0.3975062641873222,0.009639110164109769,72
51,111.8115873336792,12.803420243098612,0.30608439445495605,0.029553285019046634,"(200, 150)",0.4,"{'hidden_layer_sizes': (200, 150), 'alpha': 0.4}",-0.39701781845729855,-0.4024972403433347,-0.3773441030114273,-0.3922863872706869,0.010799997228847783,26
52,93.56644105911255,2.101612210815799,0.2515075206756592,0.015706997629688402,"(175, 150)",0.2,"{'hidden_layer_sizes': (175, 150), 'alpha': 0.2}",-0.3973237687148547,-0.40483644258481183,-0.3803470570974255,-0.39416908946569734,0.010243583398441843,43
53,15.719315767288208,1.013536777072151,0.0950767199198405,0.0027153465724816302,130,0.0001,"{'hidden_layer_sizes': 130, 'alpha': 0.0001}",-0.4009231430995861,-0.406529740558664,-0.38408390440188905,-0.3971789293533797,0.009538282257204623,71
54,29.830190896987915,21.89092932813283,0.18195271492004395,0.012950290412959522,"(150, 100)",0.01,"{'hidden_layer_sizes': (150, 100), 'alpha': 0.01}",-0.4022375607087761,-0.4126508338997004,-0.3961907342192223,-0.4036930429425663,0.006798163564398754,95
55,16.686745564142864,1.303911020042145,0.22557719548543295,0.005237206149786083,"(175, 125)",0.001,"{'hidden_layer_sizes': (175, 125), 'alpha': 0.001}",-0.40713853767973346,-0.41131828744311033,-0.39183723785338515,-0.40343135432540966,0.008373976737339897,94
56,55.40435632069906,4.288508352316415,0.1572259267171224,0.017104533952980453,"(100, 125)",0.2,"{'hidden_layer_sizes': (100, 125), 'alpha': 0.2}",-0.3913088748624184,-0.40261431329678204,-0.3841593763607064,-0.39269418817330226,0.007597609012297501,32
57,32.382973750432335,2.2061045304556144,0.11724591255187988,0.004381263403184291,190,0.4,"{'hidden_layer_sizes': 190, 'alpha': 0.4}",-0.3932314979622833,-0.4022326680278377,-0.3812803421616469,-0.3922481693839226,0.008581965241929435,25
